audio_file,initial_prediction,corrected_label
0489de37-661e-4349-bbe7-16d30d359a70.wav,Sleepy/Tired,Sleepy/Tired
11f9d448-f49d-49c0-bd30-332df549dd2a.wav,Sleepy/Tired,Eair (Lower gas)
5028a15b-d69b-4d5d-abbd-e32cad6ed49f.wav,Sleepy/Tired,Sleepy/Tired
27cdc436-f6f0-44d6-9eba-3f6fb41a873e.wav,Sleepy/Tired,Sleepy/Tired
605ad889-3ec2-4264-8f88-8b24610d01d9.wav,Sleepy/Tired,Heh (Discomfort)
d6aae1b2-d509-4351-8dd4-707774443e14.wav,Sleepy/Tired,Sleepy/Tired
d3893e1b-47aa-4060-a7dc-e221339fcb7d.wav,Sleepy/Tired,Sleepy/Tired
d78260e7-45a9-44a5-84d0-13fe3cc236b3.wav,Lower gas,Lower gas
b3c9575f-1cf6-4a50-9518-ef6a0f25c9a4.wav,Sleepy/Tired,Sleepy/Tired
0598676e-eafb-4654-b4e2-52b9f869bbd1.wav,Discomfort,Discomfort
64abc731-e337-457e-a415-082df1729342.wav,Sleepy/Tired,Sleepy/Tired
2383f53e-62be-4396-bfa4-76b7a17bb13d.wav,Sleepy/Tired,Sleepy/Tired
b55b6229-7057-4b87-8673-7e054b091b51.wav,Sleepy/Tired,Sleepy/Tired
eaf7328a-cc6d-4184-a8d4-957dda1d528e.wav,Sleepy/Tired,Sleepy/Tired
36747120-5b17-4b0d-8f32-56d94ad9519b.wav,Sleepy/Tired,Sleepy/Tired
791241b9-8ff5-4bcc-a91f-ecf7d9e5d9ea.wav,Sleepy/Tired,Sleepy/Tired
a38be0d1-edc9-4f1d-80e2-23aa73d316eb.wav,"Hungry (High pitch, longer duration)","Hungry (High pitch, longer duration)"
73d7b491-b675-410d-90f1-62cb8b0818b3.wav,"Hungry (High pitch, longer duration)","Hungry (High pitch, longer duration)"
8961ee00-1f94-4f9b-80ca-75a058be4d0b.wav,"Hungry (High pitch, longer duration)","Hungry (High pitch, longer duration)"
688fb83d-7a89-4741-81c9-57a2f7cae5a5.wav,"Hungry (High pitch, longer duration)","Hungry (High pitch, longer duration)"
5c930504-20bd-4652-9f08-4c997eb77b3b.wav,"Hungry (High pitch, longer duration)","Hungry (High pitch, longer duration)"
0e6085cd-76d0-41ea-8a4e-28414213c591.wav,Unknown,Unknown
6f9859ae-1fc4-4122-9457-0bcd41f56eec.wav,Unknown,Unknown
8ddd40fe-1668-4b97-b17f-90d6643aa448.wav,Unknown,Unknown
2feebd9c-5472-4c8f-9439-e9eefcd8b2cb.wav,Unknown,Unknown
b2b71cd5-ddd8-4697-85b6-be198218a78c.wav,Unknown,Unknown
36ca4b76-988d-412c-b2b4-683fb0f7f956.wav,"Lower gas (Low pitch, extended cry)","Lower gas (Low pitch, extended cry)"
68fda250-fe6c-455c-93f0-6ec7a96fcffb.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
9d95c371-ec76-44a7-b952-218b01b3aa87.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
ccbf8ae2-29fc-4f5b-b6bf-be61eee6d25c.wav,"Eair (Low pitch, very long duration, low frequency)","Eair (Low pitch, very long duration, low frequency)"
4528a785-c660-4720-a18e-30e075250ae1.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
c23e8d80-87d0-466b-acb6-183c62903908.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
61b8d25c-452b-4175-9f3d-992508b0e6ab.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
413f57a3-7db2-4b86-b481-d7df09e13bff.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
65bfb669-2cad-4c16-bc30-373dead8646c.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
b307ccc6-687b-474d-a4b7-5005732be276.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
ee2f69b1-b39d-4fac-b8f8-b6cbeaa0c8e2.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
8bf769ae-9a6b-460d-8325-75e66a2a4c05.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
910373e6-ea0d-4a0d-9823-bb01436677bf.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
72355686-158e-41a3-b4fa-081762a016d7.wav,"Owh (High pitch, long duration)","Owh (High pitch, long duration)"
77384d11-d5ba-49ff-afc4-172c76a4645d.wav,"Eair (Low pitch, very long duration, low frequency)","Eair (Low pitch, very long duration, low frequency)"
